timestamp,latitude,longitude
1588322982,-47.7813,108.8134
1588323042,-49.1378,114.0420
1588323102,-50.2130,119.4992
1588323162,-51.0020,125.2315
1588323222,-51.4758,131.1281
1588323282,-51.6227,137.0589
1588323342,-51.4413,143.0347
1588323402,-50.9337,148.9176
1588323462,-50.1127,154.6281
1588323522,-49.0080,160.0582
1588323582,-47.6246,165.2549
1588323642,-45.9971,170.1467
1588323702,-44.1684,174.6891
1588323762,-42.1337,178.9639
1588323822,-39.9321,-177.0543
1588323882,-37.6061,-173.3742
1588323942,-35.1366,-169.9109
1588324002,-32.5601,-166.6707
1588324062,-29.8920,-163.6287
1588324122,-27.1693,-160.7840
1588324182,-24.3579,-158.0663
1588324242,-21.4909,-155.4788
1588324302,-18.6018,-153.0219
1588324362,-15.6502,-150.6364
1588324422,-12.6675,-148.3260
1588324482,-9.6603,-146.0748
1588324542,-6.6604,-143.8863
1588324602,-3.6231,-141.7093
1588324662,-0.5790,-139.5483
1588324722,2.4408,-137.4078
1588324782,5.4821,-135.2381
1588324842,8.5140,-133.0432
1588324902,11.5055,-130.8279
1588324962,14.5008,-128.5403
1588325022,17.4683,-126.1829
1588325082,20.4008,-123.7394
1588325142,23.2667,-121.2131
1588325202,26.1052,-118.5427
1588325262,28.8820,-115.7281
1588325322,31.5633,-112.7725
1588325382,34.1814,-109.6027
1588325442,36.6986,-106.2176
1588325502,39.0783,-102.6231
1588325562,41.3413,-98.7340
1588325622,43.4452,-94.5578
1588325682,45.3662,-90.0764
1588325742,47.0651,-85.3219
1588325802,48.5434,-80.2173
1588325862,49.7589,-74.8199
1588325922,50.6800,-69.2148
1588325982,51.3010,-63.3654
1588326042,51.5974,-57.3931
1588326102,51.5616,-51.3850
1588326162,51.1988,-45.4813
1588326222,50.5125,-39.6672
1588326282,49.5210,-34.0648
1588326342,48.2584,-28.7706
1588326402,46.7288,-23.7284
1588326462,44.9690,-18.9996
1588326522,43.0230,-14.6194
1588326582,40.8836,-10.5033
1588326642,38.5898,-6.6704
1588326702,36.1626,-3.0974
1588326762,33.6430,0.2132
1588326822,31.0048,3.3424
1588326882,28.2831,6.2866
1588326942,25.5145,9.0465
1588327002,22.6633,11.6905
1588327062,19.7623,14.2151
1588327122,16.8449,16.6196
1588327182,13.8697,18.9620
1588327242,10.8678,21.2382
1588327302,7.8457,23.4638
1588327362,4.8349,25.6351
1588327422,1.7909,27.8024
1588327482,-1.2559,29.9613
1588327542,-4.2750,32.1077
1588327602,-7.3114,34.2910
1588327662,-10.3343,36.5075
1588327722,-13.3376,38.7714
1588327782,-16.2908,41.0788
1588327842,-19.2360,43.4841
1588327902,-22.1412,45.9856
1588327962,-24.9741,48.5795
1588328022,-27.7731,51.3295
1588328082,-30.5034,54.2358
1588328142,-33.1314,57.2955
1588328202,-35.6867,60.5834
1588328262,-38.1314,64.1004
1588328322,-40.4469,67.8711
1588328382,-42.5957,71.8841
1588328442,-44.5909,76.2263
1588328502,-46.3890,80.8781
1588328562,-47.9513,85.7994
1588328622,-49.2774,91.0611
1588328682,-50.3273,96.5947
1588328742,-51.0781,102.3511
1588328803,-51.5141,108.3126
1588328862,-51.6182,114.1983
1588328922,-51.3959,120.1674
1588328982,-50.8487,126.0328
1588329042,-49.9984,131.6707
1588329102,-48.8507,137.1148
1588329162,-47.4356,142.2747
1588329222,-45.7796,147.1284
1588329282,-43.9259,151.6325
1588329342,-41.8869,155.8361
1588329402,-39.6676,159.7853
1588329462,-37.3061,163.4651
1588329523,-34.8011,166.9272
1588329582,-32.2337,170.1137
1588329643,-29.5326,173.1572
1588329705,-26.6844,176.0960
1588329762,-24.0052,178.6580
1588329822,-21.1559,-178.7901
1588329882,-18.2372,-176.3244
1588329942,-15.2815,-173.9491
1588330002,-12.3202,-171.6658
1588330062,-9.3109,-169.4207
1588330122,-6.2844,-167.2183
1588330182,-3.2712,-165.0620
1588330242,-0.2267,-162.9021
1588330302,2.8186,-160.7428
1588330362,5.8338,-158.5888
1588330422,8.8642,-156.3901
1588330482,11.8786,-154.1505
1588330542,14.8708,-151.8551
1588330602,17.8097,-149.5081
1588330662,20.7377,-147.0533
1588330722,23.6220,-144.4920
1588330782,26.4300,-141.8279
1588330842,29.1991,-138.9951
1588330902,31.8934,-135.9930
1588330962,34.4787,-132.8251
1588331022,36.9832,-129.4132
1588331082,39.3675,-125.7578
1588331142,41.6121,-121.8341
1588331202,43.6781,-117.6567
1588331262,45.5763,-113.1391
1588331322,47.2624,-108.3069
1588331382,48.6984,-103.2086
1588331442,49.8818,-97.7793
1588331502,50.7744,-92.1004
1588331562,51.3557,-86.2318
1588331622,51.6103,-80.3001
1588331682,51.5359,-74.2941
1588331742,51.1308,-68.3529
1588331802,50.4128,-62.6086
1588331862,49.3872,-57.0344
1588331922,48.0816,-51.7300
1588331982,46.5359,-46.7670
1588332042,44.7512,-42.0748
1588332102,42.7661,-37.6946
1588332162,40.6062,-33.6147
1588332222,38.3145,-29.8460
1588332282,35.8733,-26.3019
1588332342,33.3197,-22.9899
1588332402,30.6928,-19.9100
1588332462,27.9625,-16.9859
1588332522,25.1630,-14.2209
1588332582,22.3290,-11.6142
1588332642,19.4230,-9.1022
1588332702,16.4767,-6.6884
1588332762,13.4979,-4.3551
1588332822,10.5184,-2.1048
1588332882,7.4947,0.1156
1588332942,4.4576,2.3016
1588333002,1.4382,4.4492
1588333062,-1.6087,6.6081
1588333122,-4.6523,8.7740
1588333182,-7.6622,10.9423
1588333242,-10.6833,13.1636
1588333302,-13.6843,15.4344
1588333362,-16.6585,17.7696
1588333422,-19.5751,20.1655
1588333482,-22.4750,22.6793
1588333542,-25.3252,25.3101
1588333602,-28.0933,28.0546
1588333662,-30.8150,30.9807
1588333722,-33.4543,34.0891
1588333782,-35.9969,37.4043
1588333842,-38.4068,40.9207
1588333902,-40.7061,44.7223
1588333962,-42.8534,48.8037
1588334022,-44.8097,53.1456
1588334082,-46.5833,57.8337
1588334142,-48.1301,62.8335
1588334202,-49.4136,68.0856
1588334262,-50.4300,73.6478
1588334322,-51.1449,79.4259
1588334382,-51.5411,85.3513
1588334442,-51.6115,91.1422
1588334502,-51.3589,97.1060
1588334562,-50.7883,102.9097
1588334622,-49.9044,108.5760
1588334682,-48.7309,113.9954
1588334742,-47.3054,119.0866
1588334802,-45.6303,123.9138
1588334862,-43.7433,128.4289
1588334922,-41.6705,132.6388
1588334982,-39.4356,136.5603
1588335042,-37.0810,140.1851
1588335102,-34.5866,143.5984
1588335162,-32.0110,146.7677
1588335222,-29.3254,149.7718
1588335282,-26.5647,152.6064
1588335342,-23.7403,155.2943
1588335402,-20.8866,157.8353
