,Location,Time,AgeGrp,AgeGrpStart,PopMale,PopFemale
662020,Japan,2066,80-84,80,2752.097,3232.7070000000003
662021,Japan,2066,85-89,85,2304.905,3145.5959999999995
662022,Japan,2066,90-94,90,1646.592,2823.862
662023,Japan,2066,95-99,95,587.376,1420.817
662024,Japan,2066,100+,100,95.889,424.89599999999996
662025,Japan,2067,0-4,0,1773.271,1681.389
662026,Japan,2067,5-9,5,1808.29,1714.969
662027,Japan,2067,10-14,10,1890.289,1793.099
662028,Japan,2067,15-19,15,2010.993,1908.7479999999998
662029,Japan,2067,20-24,20,2123.847,2018.094
662030,Japan,2067,25-29,25,2191.1,2084.788
662031,Japan,2067,30-34,30,2223.525,2118.48
662032,Japan,2067,35-39,35,2242.1279999999997,2139.177
662033,Japan,2067,40-44,40,2292.069,2190.766
662034,Japan,2067,45-49,45,2424.456,2323.3
662035,Japan,2067,50-54,50,2701.59,2599.855
662036,Japan,2067,55-59,55,2847.388,2760.012
662037,Japan,2067,60-64,60,2824.7329999999997,2771.23
662038,Japan,2067,65-69,65,2838.006,2839.03
662039,Japan,2067,70-74,70,2783.322,2866.134
662040,Japan,2067,75-79,75,2764.97,2987.192
662041,Japan,2067,80-84,80,2695.653,3165.7729999999997
662042,Japan,2067,85-89,85,2269.469,3086.49
662043,Japan,2067,90-94,90,1594.586,2717.798
662044,Japan,2067,95-99,95,655.426,1526.2020000000002
662045,Japan,2067,100+,100,99.318,438.18199999999996
662046,Japan,2068,0-4,0,1770.0379999999998,1678.6670000000001
662047,Japan,2068,5-9,5,1798.9579999999999,1706.433
662048,Japan,2068,10-14,10,1871.592,1775.6960000000001
662049,Japan,2068,15-19,15,1988.751,1888.0079999999998
662050,Japan,2068,20-24,20,2109.105,2004.491
662051,Japan,2068,25-29,25,2185.562,2079.9
662052,Japan,2068,30-34,30,2221.141,2116.548
662053,Japan,2068,35-39,35,2239.849,2137.3379999999997
662054,Japan,2068,40-44,40,2277.1479999999997,2176.798
662055,Japan,2068,45-49,45,2389.469,2290.119
662056,Japan,2068,50-54,50,2632.587,2533.7329999999997
662057,Japan,2068,55-59,55,2838.539,2751.256
662058,Japan,2068,60-64,60,2821.298,2767.665
662059,Japan,2068,65-69,65,2812.942,2812.84
662060,Japan,2068,70-74,70,2783.353,2863.8259999999996
662061,Japan,2068,75-79,75,2715.12,2929.8590000000004
662062,Japan,2068,80-84,80,2646.6609999999996,3103.562
662063,Japan,2068,85-89,85,2243.433,3043.256
662064,Japan,2068,90-94,90,1530.75,2607.575
662065,Japan,2068,95-99,95,702.1239999999999,1601.0339999999999
662066,Japan,2068,100+,100,103.16,453.126
662067,Japan,2069,0-4,0,1766.89,1675.505
662068,Japan,2069,5-9,5,1791.226,1698.8929999999998
662069,Japan,2069,10-14,10,1853.46,1758.251
662070,Japan,2069,15-19,15,1965.5839999999998,1865.734
662071,Japan,2069,20-24,20,2092.166,1988.1570000000002
662072,Japan,2069,25-29,25,2178.098,2072.555
662073,Japan,2069,30-34,30,2218.1079999999997,2113.345
662074,Japan,2069,35-39,35,2238.063,2135.284
662075,Japan,2069,40-44,40,2265.25,2164.99
662076,Japan,2069,45-49,45,2359.001,2260.4570000000003
662077,Japan,2069,50-54,50,2565.467,2468.404
662078,Japan,2069,55-59,55,2819.151,2731.1659999999997
662079,Japan,2069,60-64,60,2818.886,2763.617
662080,Japan,2069,65-69,65,2791.259,2788.5170000000003
662081,Japan,2069,70-74,70,2782.653,2859.5290000000005
662082,Japan,2069,75-79,75,2677.625,2882.257
662083,Japan,2069,80-84,80,2606.245,3044.905
662084,Japan,2069,85-89,85,2227.2670000000003,3008.007
662085,Japan,2069,90-94,90,1482.817,2534.433
662086,Japan,2069,95-99,95,709.6160000000001,1630.134
662087,Japan,2069,100+,100,107.796,470.68699999999995
662088,Japan,2070,0-4,0,1763.128,1670.524
662089,Japan,2070,5-9,5,1783.656,1690.293
662090,Japan,2070,10-14,10,1835.789,1739.9520000000002
662091,Japan,2070,15-19,15,1941.414,1841.116
662092,Japan,2070,20-24,20,2072.09,1967.374
662093,Japan,2070,25-29,25,2167.465,2060.703
662094,Japan,2070,30-34,30,2213.549,2107.165
662095,Japan,2070,35-39,35,2235.237,2130.6679999999997
662096,Japan,2070,40-44,40,2254.953,2153.111
662097,Japan,2070,45-49,45,2330.445,2230.902
662098,Japan,2070,50-54,50,2505.667,2408.201
662099,Japan,2070,55-59,55,2784.5040000000004,2694.185
662100,Japan,2070,60-64,60,2814.2729999999997,2754.8340000000003
662101,Japan,2070,65-69,65,2775.205,2767.384
662102,Japan,2070,70-74,70,2774.525,2844.953
662103,Japan,2070,75-79,75,2653.6929999999998,2844.414
662104,Japan,2070,80-84,80,2573.469,2987.888
662105,Japan,2070,85-89,85,2220.235,2979.828
662106,Japan,2070,90-94,90,1468.4160000000002,2516.694
662107,Japan,2070,95-99,95,679.699,1630.362
662108,Japan,2070,100+,100,113.39399999999999,491.00199999999995
662109,Japan,2071,0-4,0,1761.989,1670.4879999999998
662110,Japan,2071,5-9,5,1778.979,1686.969
662111,Japan,2071,10-14,10,1824.0420000000001,1730.015
662112,Japan,2071,15-19,15,1921.9189999999999,1823.9129999999998
662113,Japan,2071,20-24,20,2052.5370000000003,1950.0929999999998
662114,Japan,2071,25-29,25,2156.607,2051.6679999999997
662115,Japan,2071,30-34,30,2210.104,2105.208
662116,Japan,2071,35-39,35,2234.109,2130.965
662117,Japan,2071,40-44,40,2249.035,2148.9
662118,Japan,2071,45-49,45,2307.641,2210.632
662119,Japan,2071,50-54,50,2455.33,2361.556
662120,Japan,2071,55-59,55,2737.829,2651.2209999999995
662121,Japan,2071,60-64,60,2809.085,2751.889
662122,Japan,2071,65-69,65,2764.031,2757.853
662123,Japan,2071,70-74,70,2757.2990000000004,2829.643
662124,Japan,2071,75-79,75,2628.1809999999996,2819.123
662125,Japan,2071,80-84,80,2512.952,2919.553
662126,Japan,2071,85-89,85,2177.526,2911.136
662127,Japan,2071,90-94,90,1471.251,2466.812
662128,Japan,2071,95-99,95,683.9630000000001,1618.207
662129,Japan,2071,100+,100,120.361,516.651
662130,Japan,2072,0-4,0,1760.692,1670.3
662131,Japan,2072,5-9,5,1775.57,1684.7920000000001
662132,Japan,2072,10-14,10,1814.0179999999998,1721.626
662133,Japan,2072,15-19,15,1903.277,1807.4289999999999
662134,Japan,2072,20-24,20,2031.85,1931.6760000000002
662135,Japan,2072,25-29,25,2144.334,2041.2520000000002
662136,Japan,2072,30-34,30,2206.354,2102.915
662137,Japan,2072,35-39,35,2232.9570000000003,2131.1479999999997
662138,Japan,2072,40-44,40,2245.884,2147.203
662139,Japan,2072,45-49,45,2289.67,2194.7529999999997
662140,Japan,2072,50-54,50,2414.045,2323.285
662141,Japan,2072,55-59,55,2678.13,2595.0789999999997
662142,Japan,2072,60-64,60,2805.3140000000003,2749.5359999999996
662143,Japan,2072,65-69,65,2758.884,2753.615
662144,Japan,2072,70-74,70,2737.055,2809.248
662145,Japan,2072,75-79,75,2621.176,2811.031
662146,Japan,2072,80-84,80,2461.284,2860.539
662147,Japan,2072,85-89,85,2136.699,2853.1659999999997
662148,Japan,2072,90-94,90,1452.335,2411.208
662149,Japan,2072,95-99,95,680.97,1573.424
662150,Japan,2072,100+,100,128.293,545.453
662151,Japan,2073,0-4,0,1758.484,1668.51
662152,Japan,2073,5-9,5,1772.6879999999999,1682.349
662153,Japan,2073,10-14,10,1804.656,1713.0439999999999
662154,Japan,2073,15-19,15,1884.766,1790.183
662155,Japan,2073,20-24,20,2009.76,1911.031
662156,Japan,2073,25-29,25,2129.674,2027.654
662157,Japan,2073,30-34,30,2200.92,2098.069
662158,Japan,2073,35-39,35,2230.724,2129.302
662159,Japan,2073,40-44,40,2243.8,2145.482
662160,Japan,2073,45-49,45,2275.044,2180.944
662161,Japan,2073,50-54,50,2379.587,2290.3520000000003
662162,Japan,2073,55-59,55,2610.308,2529.428
662163,Japan,2073,60-64,60,2797.4440000000004,2741.2529999999997
662164,Japan,2073,65-69,65,2756.805,2750.688
662165,Japan,2073,70-74,70,2715.054,2784.438
662166,Japan,2073,75-79,75,2624.145,2810.712
662167,Japan,2073,80-84,80,2419.86,2808.498
662168,Japan,2073,85-89,85,2099.028,2798.74
662169,Japan,2073,90-94,90,1431.045,2369.759
662170,Japan,2073,95-99,95,673.168,1527.977
662171,Japan,2073,100+,100,136.267,574.024
662172,Japan,2074,0-4,0,1754.819,1664.286
662173,Japan,2074,5-9,5,1769.644,1678.6879999999999
662174,Japan,2074,10-14,10,1795.2720000000002,1703.3270000000002
662175,Japan,2074,15-19,15,1866.221,1771.71
662176,Japan,2074,20-24,20,1986.5710000000001,1888.12
662177,Japan,2074,25-29,25,2112.1,2010.0220000000002
662178,Japan,2074,30-34,30,2192.731,2089.277
662179,Japan,2074,35-39,35,2226.974,2124.641
662180,Japan,2074,40-44,40,2241.3379999999997,2141.987
662181,Japan,2074,45-49,45,2262.585,2167.742
662182,Japan,2074,50-54,50,2348.7329999999997,2259.294
662183,Japan,2074,55-59,55,2543.513,2462.813
662184,Japan,2074,60-64,60,2778.3259999999996,2719.7790000000005
662185,Japan,2074,65-69,65,2754.5040000000004,2745.317
662186,Japan,2074,70-74,70,2695.6820000000002,2759.711
662187,Japan,2074,75-79,75,2627.115,2806.9570000000003
662188,Japan,2074,80-84,80,2393.087,2766.0170000000003
662189,Japan,2074,85-89,85,2071.439,2750.493
662190,Japan,2074,90-94,90,1416.2520000000002,2350.883
662191,Japan,2074,95-99,95,658.31,1497.345
662192,Japan,2074,100+,100,143.056,598.123
662193,Japan,2075,0-4,0,1749.45,1657.5520000000001
662194,Japan,2075,5-9,5,1765.9360000000001,1673.524
662195,Japan,2075,10-14,10,1785.855,1692.661
662196,Japan,2075,15-19,15,1847.874,1752.4520000000002
662197,Japan,2075,20-24,20,1962.65,1863.505
662198,Japan,2075,25-29,25,2091.634,1988.596
662199,Japan,2075,30-34,30,2181.395,2076.3979999999997
662200,Japan,2075,35-39,35,2221.633,2117.335
662201,Japan,2075,40-44,40,2237.766,2136.255
662202,Japan,2075,45-49,45,2251.676,2154.824
662203,Japan,2075,50-54,50,2319.783,2228.738
662204,Japan,2075,55-59,55,2484.038,2401.782
662205,Japan,2075,60-64,60,2744.172,2681.962
662206,Japan,2075,65-69,65,2749.93,2735.67
662207,Japan,2075,70-74,70,2681.804,2738.5609999999997
662208,Japan,2075,75-79,75,2624.5809999999997,2793.866
662209,Japan,2075,80-84,80,2382.972,2735.7940000000003
662210,Japan,2075,85-89,85,2058.904,2716.35
662211,Japan,2075,90-94,90,1415.9779999999998,2356.658
662212,Japan,2075,95-99,95,628.1,1475.5120000000002
662213,Japan,2075,100+,100,147.825,614.9830000000001
662214,Japan,2076,0-4,0,1745.402,1654.408
662215,Japan,2076,5-9,5,1764.854,1673.251
662216,Japan,2076,10-14,10,1782.3770000000002,1690.192
662217,Japan,2076,15-19,15,1836.037,1742.099
662218,Japan,2076,20-24,20,1942.307,1845.029
662219,Japan,2076,25-29,25,2072.071,1970.845
662220,Japan,2076,30-34,30,2170.752,2067.169
662221,Japan,2076,35-39,35,2218.409,2115.206
662222,Japan,2076,40-44,40,2236.8520000000003,2136.364
662223,Japan,2076,45-49,45,2245.974,2150.417
662224,Japan,2076,50-54,50,2297.357,2208.373
662225,Japan,2076,55-59,55,2434.506,2355.17
662226,Japan,2076,60-64,60,2698.487,2639.026
662227,Japan,2076,65-69,65,2745.805,2732.664
662228,Japan,2076,70-74,70,2671.079,2728.684
662229,Japan,2076,75-79,75,2605.473,2776.89
662230,Japan,2076,80-84,80,2358.38,2708.094
662231,Japan,2076,85-89,85,2015.844,2651.5209999999997
662232,Japan,2076,90-94,90,1416.035,2311.614
662233,Japan,2076,95-99,95,631.9159999999999,1459.805
662234,Japan,2076,100+,100,150.55100000000002,626.045
662235,Japan,2077,0-4,0,1740.8770000000002,1650.5420000000001
662236,Japan,2077,5-9,5,1763.114,1672.0279999999998
662237,Japan,2077,10-14,10,1779.395,1687.836
662238,Japan,2077,15-19,15,1825.6789999999999,1732.7879999999998
662239,Japan,2077,20-24,20,1922.736,1826.9370000000001
662240,Japan,2077,25-29,25,2050.933,1951.235
662241,Japan,2077,30-34,30,2158.109,2055.643
662242,Japan,2077,35-39,35,2214.297,2111.803
662243,Japan,2077,40-44,40,2235.351,2135.437
662244,Japan,2077,45-49,45,2242.5,2147.603
662245,Japan,2077,50-54,50,2279.2270000000003,2191.453
662246,Japan,2077,55-59,55,2393.407,2315.937
662247,Japan,2077,60-64,60,2639.4320000000002,2581.948
662248,Japan,2077,65-69,65,2742.716,2729.259
662249,Japan,2077,70-74,70,2666.7990000000004,2723.5040000000004
662250,Japan,2077,75-79,75,2585.976,2755.76
662251,Japan,2077,80-84,80,2352.081,2699.634
662252,Japan,2077,85-89,85,1975.7779999999998,2597.216
662253,Japan,2077,90-94,90,1390.162,2251.831
662254,Japan,2077,95-99,95,647.743,1457.352
662255,Japan,2077,100+,100,151.289,630.226
662256,Japan,2078,0-4,0,1735.519,1645.579
662257,Japan,2078,5-9,5,1760.598,1669.727
662258,Japan,2078,10-14,10,1776.442,1685.134
662259,Japan,2078,15-19,15,1816.296,1723.999
662260,Japan,2078,20-24,20,1904.132,1809.385
662261,Japan,2078,25-29,25,2028.665,1930.1729999999998
662262,Japan,2078,30-34,30,2143.284,2041.625
662263,Japan,2078,35-39,35,2208.723,2106.554
662264,Japan,2078,40-44,40,2233.006,2133.21
662265,Japan,2078,45-49,45,2240.366,2145.522
662266,Japan,2078,50-54,50,2264.708,2177.36
662267,Japan,2078,55-59,55,2359.39,2282.8579999999997
662268,Japan,2078,60-64,60,2572.9770000000003,2516.446
662269,Japan,2078,65-69,65,2735.938,2721.009
662270,Japan,2078,70-74,70,2666.3140000000003,2720.9390000000003
662271,Japan,2078,75-79,75,2567.678,2732.6009999999997
662272,Japan,2078,80-84,80,2357.655,2701.663
662273,Japan,2078,85-89,85,1942.558,2550.756
662274,Japan,2078,90-94,90,1361.848,2204.098
662275,Japan,2078,95-99,95,657.57,1453.1889999999999
662276,Japan,2078,100+,100,150.705,629.54
662277,Japan,2079,0-4,0,1728.7089999999998,1638.825
662278,Japan,2079,5-9,5,1757.096,1666.067
662279,Japan,2079,10-14,10,1772.895,1681.404
662280,Japan,2079,15-19,15,1807.275,1715.055
662281,Japan,2079,20-24,20,1886.469,1792.249
662282,Japan,2079,25-29,25,2005.799,1908.067
662283,Japan,2079,30-34,30,2125.985,2024.736
662284,Japan,2079,35-39,35,2200.83,2098.5389999999998
662285,Japan,2079,40-44,40,2229.585,2129.364
662286,Japan,2079,45-49,45,2238.3320000000003,2142.9
662287,Japan,2079,50-54,50,2252.819,2165.1
662288,Japan,2079,55-59,55,2329.501,2252.948
662289,Japan,2079,60-64,60,2508.327,2451.476
662290,Japan,2079,65-69,65,2718.489,2701.195
662291,Japan,2079,70-74,70,2666.397,2717.6459999999997
662292,Japan,2079,75-79,75,2554.489,2711.7729999999997
662293,Japan,2079,80-84,80,2367.064,2703.49
662294,Japan,2079,85-89,85,1925.8220000000001,2518.181
662295,Japan,2079,90-94,90,1343.243,2181.4410000000003
662296,Japan,2079,95-99,95,650.557,1439.9229999999998
662297,Japan,2079,100+,100,149.797,627.029
662298,Japan,2080,0-4,0,1719.662,1629.336
662299,Japan,2080,5-9,5,1752.2979999999998,1660.5870000000002
662300,Japan,2080,10-14,10,1768.1570000000002,1675.91
662301,Japan,2080,15-19,15,1798.011,1705.204
662302,Japan,2080,20-24,20,1869.318,1774.921
662303,Japan,2080,25-29,25,1982.5020000000002,1884.8629999999998
662304,Japan,2080,30-34,30,2105.871,2004.4479999999999
662305,Japan,2080,35-39,35,2189.792,2086.756
662306,Japan,2080,40-44,40,2224.572,2123.19
662307,Japan,2080,45-49,45,2235.202,2138.381
662308,Japan,2080,50-54,50,2242.5029999999997,2153.455
662309,Japan,2080,55-59,55,2301.6,2223.882
662310,Japan,2080,60-64,60,2450.998,2392.4139999999998
662311,Japan,2080,65-69,65,2686.1490000000003,2665.505
662312,Japan,2080,70-74,70,2664.4809999999998,2710.552
662313,Japan,2080,75-79,75,2548.015,2695.152
662314,Japan,2080,80-84,80,2375.154,2698.4990000000003
662315,Japan,2080,85-89,85,1932.424,2508.777
662316,Japan,2080,90-94,90,1341.645,2184.7870000000003
662317,Japan,2080,95-99,95,624.163,1421.3239999999998
662318,Japan,2080,100+,100,149.28,624.828
662319,Japan,2081,0-4,0,1711.144,1621.832
662320,Japan,2081,5-9,5,1749.487,1658.543
662321,Japan,2081,10-14,10,1767.976,1676.424
662322,Japan,2081,15-19,15,1794.5439999999999,1702.642
662323,Japan,2081,20-24,20,1856.6979999999999,1763.604
662324,Japan,2081,25-29,25,1962.217,1866.243
662325,Japan,2081,30-34,30,2086.615,1986.855
662326,Japan,2081,35-39,35,2179.479,2077.722
662327,Japan,2081,40-44,40,2221.667,2121.243
662328,Japan,2081,45-49,45,2234.577,2138.656
662329,Japan,2081,50-54,50,2237.163,2149.279
662330,Japan,2081,55-59,55,2279.706,2203.808
662331,Japan,2081,60-64,60,2402.692,2346.294
662332,Japan,2081,65-69,65,2642.309,2623.195
662333,Japan,2081,70-74,70,2660.565,2707.5890000000004
662334,Japan,2081,75-79,75,2535.981,2684.531
662335,Japan,2081,80-84,80,2354.232,2678.452
662336,Japan,2081,85-89,85,1918.1270000000002,2481.835
662337,Japan,2081,90-94,90,1337.174,2140.2929999999997
662338,Japan,2081,95-99,95,628.769,1412.392
662339,Japan,2081,100+,100,149.695,625.764
662340,Japan,2082,0-4,0,1702.2620000000002,1613.83
662341,Japan,2082,5-9,5,1745.236,1654.931
662342,Japan,2082,10-14,10,1766.999,1675.954
662343,Japan,2082,15-19,15,1791.876,1700.6070000000002
662344,Japan,2082,20-24,20,1845.9820000000002,1753.898
662345,Japan,2082,25-29,25,1942.808,1848.246
662346,Japan,2082,30-34,30,2065.7670000000003,1967.5079999999998
662347,Japan,2082,35-39,35,2167.166,2066.509
662348,Japan,2082,40-44,40,2217.907,2118.17
662349,Japan,2082,45-49,45,2233.427,2138.058
662350,Japan,2082,50-54,50,2234.1420000000003,2146.8579999999997
662351,Japan,2082,55-59,55,2262.216,2187.364
662352,Japan,2082,60-64,60,2362.737,2307.714
662353,Japan,2082,65-69,65,2585.698,2567.165
662354,Japan,2082,70-74,70,2659.059,2705.039
662355,Japan,2082,75-79,75,2532.685,2680.362
662356,Japan,2082,80-84,80,2336.21,2658.566
662357,Japan,2082,85-89,85,1915.5770000000002,2475.8070000000002
662358,Japan,2082,90-94,90,1310.73,2085.075
662359,Japan,2082,95-99,95,637.269,1401.63
662360,Japan,2082,100+,100,150.578,627.5
662361,Japan,2083,0-4,0,1692.53,1604.723
662362,Japan,2083,5-9,5,1739.342,1649.435
662363,Japan,2083,10-14,10,1764.719,1673.885
662364,Japan,2083,15-19,15,1789.125,1698.109
662365,Japan,2083,20-24,20,1836.6989999999998,1745.204
662366,Japan,2083,25-29,25,1924.234,1830.695
662367,Japan,2083,30-34,30,2043.5629999999999,1946.479
662368,Japan,2083,35-39,35,2152.446,2052.5679999999998
662369,Japan,2083,40-44,40,2212.476,2113.031
662370,Japan,2083,45-49,45,2231.265,2135.966
662371,Japan,2083,50-54,50,2232.281,2144.951
662372,Japan,2083,55-59,55,2248.186,2173.5429999999997
662373,Japan,2083,60-64,60,2329.688,2275.073
662374,Japan,2083,65-69,65,2521.66,2502.58
662375,Japan,2083,70-74,70,2654.345,2697.7929999999997
662376,Japan,2083,75-79,75,2534.6620000000003,2679.42
662377,Japan,2083,80-84,80,2322.9539999999997,2639.105
662378,Japan,2083,85-89,85,1920.231,2479.058
662379,Japan,2083,90-94,90,1285.401,2044.267
662380,Japan,2083,95-99,95,640.3290000000001,1387.632
662381,Japan,2083,100+,100,151.731,629.496
662382,Japan,2084,0-4,0,1681.505,1593.98
662383,Japan,2084,5-9,5,1731.7520000000002,1641.91
662384,Japan,2084,10-14,10,1760.684,1669.691
662385,Japan,2084,15-19,15,1785.4879999999998,1694.27
662386,Japan,2084,20-24,20,1828.161,1736.755
662387,Japan,2084,25-29,25,1906.48,1813.4660000000001
662388,Japan,2084,30-34,30,2020.535,1924.1670000000001
662389,Japan,2084,35-39,35,2134.993,2035.4779999999998
662390,Japan,2084,40-44,40,2204.4570000000003,2104.837
662391,Japan,2084,45-49,45,2227.795,2131.99
662392,Japan,2084,50-54,50,2230.274,2142.22
662393,Japan,2084,55-59,55,2236.587,2161.281
662394,Japan,2084,60-64,60,2300.626,2245.342
662395,Japan,2084,65-69,65,2458.991,2438.203
662396,Japan,2084,70-74,70,2639.116,2678.847
662397,Japan,2084,75-79,75,2538.599,2677.902
662398,Japan,2084,80-84,80,2318.167,2623.492
662399,Japan,2084,85-89,85,1932.398,2485.925
662400,Japan,2084,90-94,90,1273.634,2031.295
662401,Japan,2084,95-99,95,631.962,1371.401
662402,Japan,2084,100+,100,152.811,630.839
662403,Japan,2085,0-4,0,1668.681,1581.043
662404,Japan,2085,5-9,5,1722.5520000000001,1632.39
662405,Japan,2085,10-14,10,1754.555,1662.991
662406,Japan,2085,15-19,15,1780.372,1688.4720000000002
662407,Japan,2085,20-24,20,1819.6029999999998,1727.737
662408,Japan,2085,25-29,25,1889.442,1796.3829999999998
662409,Japan,2085,30-34,30,1997.046,1900.858
662410,Japan,2085,35-39,35,2114.611,2014.991
662411,Japan,2085,40-44,40,2193.173,2092.869
662412,Japan,2085,45-49,45,2222.631,2125.697
662413,Japan,2085,50-54,50,2227.0820000000003,2137.603
662414,Japan,2085,55-59,55,2226.502,2149.658
662415,Japan,2085,60-64,60,2273.533,2216.494
662416,Japan,2085,65-69,65,2403.274,2379.68
662417,Japan,2085,70-74,70,2609.277,2644.112
662418,Japan,2085,75-79,75,2542.029,2672.9570000000003
662419,Japan,2085,80-84,80,2322.922,2613.547
662420,Japan,2085,85-89,85,1951.308,2495.3289999999997
662421,Japan,2085,90-94,90,1285.951,2051.654
662422,Japan,2085,95-99,95,609.241,1355.725
662423,Japan,2085,100+,100,153.567,630.869
662424,Japan,2086,0-4,0,1657.011,1570.481
662425,Japan,2086,5-9,5,1715.579,1626.3329999999999
662426,Japan,2086,10-14,10,1752.559,1661.719
662427,Japan,2086,15-19,15,1780.239,1688.9920000000002
662428,Japan,2086,20-24,20,1815.3670000000002,1724.293
662429,Japan,2086,25-29,25,1876.8829999999998,1785.0079999999998
662430,Japan,2086,30-34,30,1977.094,1882.491
662431,Japan,2086,35-39,35,2095.728,1997.6970000000001
662432,Japan,2086,40-44,40,2183.228,2084.123
662433,Japan,2086,45-49,45,2220.072,2124.024
662434,Japan,2086,50-54,50,2226.83,2138.197
662435,Japan,2086,55-59,55,2221.589,2145.813
662436,Japan,2086,60-64,60,2252.405,2196.849
662437,Japan,2086,65-69,65,2356.962,2334.2889999999998
662438,Japan,2086,70-74,70,2566.769,2602.284
662439,Japan,2086,75-79,75,2536.357,2669.19
662440,Japan,2086,80-84,80,2309.685,2600.734
662441,Japan,2086,85-89,85,1936.815,2473.295
662442,Japan,2086,90-94,90,1298.694,2035.6570000000002
662443,Japan,2086,95-99,95,610.273,1342.3929999999998
662444,Japan,2086,100+,100,154.399,632.004
662445,Japan,2087,0-4,0,1645.7920000000001,1560.1989999999998
662446,Japan,2087,5-9,5,1706.9579999999999,1618.524
662447,Japan,2087,10-14,10,1748.9029999999998,1658.651
662448,Japan,2087,15-19,15,1779.4979999999998,1688.719
662449,Japan,2087,20-24,20,1812.226,1721.703
662450,Japan,2087,25-29,25,1866.193,1775.226
662451,Japan,2087,30-34,30,1957.848,1864.576
662452,Japan,2087,35-39,35,2075.092,1978.477
662453,Japan,2087,40-44,40,2171.153,2073.049
662454,Japan,2087,45-49,45,2216.554,2121.0879999999997
662455,Japan,2087,50-54,50,2225.989,2137.785
662456,Japan,2087,55-59,55,2218.946,2143.603
662457,Japan,2087,60-64,60,2235.549,2180.708
662458,Japan,2087,65-69,65,2318.822,2296.327
662459,Japan,2087,70-74,70,2512.899,2547.18
662460,Japan,2087,75-79,75,2535.624,2667.258
662461,Japan,2087,80-84,80,2306.8520000000003,2597.3160000000003
662462,Japan,2087,85-89,85,1923.52,2455.564
662463,Japan,2087,90-94,90,1296.72,2019.616
662464,Japan,2087,95-99,95,615.8530000000001,1328.95
662465,Japan,2087,100+,100,155.124,632.758
662466,Japan,2088,0-4,0,1634.44,1549.5020000000002
662467,Japan,2088,5-9,5,1696.626,1608.773
662468,Japan,2088,10-14,10,1743.22,1653.3020000000001
662469,Japan,2088,15-19,15,1777.37,1686.753
662470,Japan,2088,20-24,20,1809.5179999999998,1719.184
662471,Japan,2088,25-29,25,1856.869,1766.4129999999998
662472,Japan,2088,30-34,30,1939.2720000000002,1846.93
662473,Japan,2088,35-39,35,2052.935,1957.395
662474,Japan,2088,40-44,40,2156.522,2059.0789999999997
662475,Japan,2088,45-49,45,2211.249,2115.9320000000002
662476,Japan,2088,50-54,50,2224.027,2135.715
662477,Japan,2088,55-59,55,2217.396,2141.7670000000003
662478,Japan,2088,60-64,60,2222.151,2167.073
662479,Japan,2088,65-69,65,2287.214,2264.132
662480,Japan,2088,70-74,70,2452.216,2483.7039999999997
662481,Japan,2088,75-79,75,2533.698,2661.461
662482,Japan,2088,80-84,80,2311.592,2598.687
662483,Japan,2088,85-89,85,1913.555,2439.249
662484,Japan,2088,90-94,90,1296.3110000000001,2018.642
662485,Japan,2088,95-99,95,619.57,1318.128
662486,Japan,2088,100+,100,155.718,632.97
662487,Japan,2089,0-4,0,1622.402,1537.8139999999999
662488,Japan,2089,5-9,5,1684.729,1597.192
662489,Japan,2089,10-14,10,1735.25,1645.3829999999998
662490,Japan,2089,15-19,15,1773.269,1682.483
662491,Japan,2089,20-24,20,1806.4189999999999,1715.895
662492,Japan,2089,25-29,25,1848.2920000000001,1757.9270000000001
662493,Japan,2089,30-34,30,1921.4129999999998,1829.556
662494,Japan,2089,35-39,35,2029.8210000000001,1934.951
662495,Japan,2089,40-44,40,2139.024,2041.879
662496,Japan,2089,45-49,45,2203.259,2107.666
662497,Japan,2089,50-54,50,2220.657,2131.6910000000003
662498,Japan,2089,55-59,55,2215.65,2139.054
662499,Japan,2089,60-64,60,2211.2,2154.968
662500,Japan,2089,65-69,65,2259.219,2234.746
662501,Japan,2089,70-74,70,2392.9410000000003,2420.471
662502,Japan,2089,75-79,75,2523.09,2644.474
662503,Japan,2089,80-84,80,2321.499,2600.88
662504,Japan,2089,85-89,85,1914.994,2429.847
662505,Japan,2089,90-94,90,1304.435,2037.255
662506,Japan,2089,95-99,95,616.193,1311.237
662507,Japan,2089,100+,100,156.174,632.534
662508,Japan,2090,0-4,0,1609.154,1524.6570000000002
662509,Japan,2090,5-9,5,1671.596,1584.136
662510,Japan,2090,10-14,10,1724.8310000000001,1634.796
662511,Japan,2090,15-19,15,1766.809,1675.589
662512,Japan,2090,20-24,20,1802.0839999999998,1711.058
662513,Japan,2090,25-29,25,1839.9229999999998,1749.283
662514,Japan,2090,30-34,30,1904.2620000000002,1812.501
662515,Japan,2090,35-39,35,2006.156,1911.588
662516,Japan,2090,40-44,40,2118.5029999999997,2021.364
662517,Japan,2090,45-49,45,2191.927,2095.728
662518,Japan,2090,50-54,50,2215.533,2125.455
662519,Japan,2090,55-59,55,2212.7,2134.5789999999997
662520,Japan,2090,60-64,60,2201.737,2143.618
662521,Japan,2090,65-69,65,2232.993,2206.32
662522,Japan,2090,70-74,70,2340.383,2363.127
662523,Japan,2090,75-79,75,2499.47,2612.154
662524,Japan,2090,80-84,80,2334.396,2601.408
662525,Japan,2090,85-89,85,1933.4379999999999,2435.564
662526,Japan,2090,90-94,90,1326.499,2073.069
